concentration_pM,Kd_pM,alpha0,noise_floor_pA,lambda_D_nm,maximum_allowed_distance_nm
10.0,100.0,0.01,10.0,3.0,0.20731668200022946
10.0,100.0,0.01,10.0,9.6,0.6634133824007343
10.0,100.0,0.01,50.0,0.8,0.0
10.0,100.0,0.01,50.0,3.0,0.0
10.0,100.0,0.01,50.0,9.6,0.0
10.0,100.0,0.01,100.0,0.8,0.0
10.0,100.0,0.01,100.0,3.0,0.0
10.0,100.0,0.01,100.0,9.6,0.0
10.0,100.0,0.03,1.0,0.8,2.7762423538631187
10.0,100.0,0.03,1.0,3.0,10.410908826986695
10.0,100.0,0.03,1.0,9.6,33.31490824635742
10.0,100.0,0.03,5.0,0.8,1.4886920239158383
10.0,100.0,0.03,5.0,3.0,5.582595089684393
10.0,100.0,0.03,5.0,9.6,17.86430428699006
10.0,100.0,0.03,10.0,0.8,0.9341742794678821
10.0,100.0,0.03,10.0,3.0,3.5031535480045575
10.0,100.0,0.03,10.0,9.6,11.210091353614585
10.0,100.0,0.03,50.0,0.8,0.0
10.0,100.0,0.03,50.0,3.0,0.0
10.0,100.0,0.03,50.0,9.6,0.0
10.0,100.0,0.03,100.0,0.8,0.0
10.0,100.0,0.03,100.0,3.0,0.0
10.0,100.0,0.03,100.0,9.6,0.0
10.0,100.0,0.1,1.0,0.8,3.7394205973238677
10.0,100.0,0.1,1.0,3.0,14.022827239964503
10.0,100.0,0.1,1.0,9.6,44.87304716788641
10.0,100.0,0.1,5.0,0.8,2.4518702673765875
10.0,100.0,0.1,5.0,3.0,9.194513502662202
10.0,100.0,0.1,5.0,9.6,29.422443208519045
10.0,100.0,0.1,10.0,0.8,1.897352522928631
10.0,100.0,0.1,10.0,3.0,7.115071960982366
10.0,100.0,0.1,10.0,9.6,22.76823027514357
10.0,100.0,0.1,50.0,0.8,0.6098021929813506
10.0,100.0,0.1,50.0,3.0,2.286758223680065
10.0,100.0,0.1,50.0,9.6,7.317626315776208
10.0,100.0,0.1,100.0,0.8,0.05528444853339436
10.0,100.0,0.1,100.0,3.0,0.20731668200022885
10.0,100.0,0.1,100.0,9.6,0.6634133824007323
100.0,1.0,0.01,1.0,0.8,3.9059969929244107
100.0,1.0,0.01,1.0,3.0,14.64748872346654
100.0,1.0,0.01,1.0,9.6,46.87196391509293
100.0,1.0,0.01,5.0,0.8,2.61844666297713
100.0,1.0,0.01,5.0,3.0,9.819174986164239
100.0,1.0,0.01,5.0,9.6,31.42135995572556
100.0,1.0,0.01,10.0,0.8,2.063928918529174
100.0,1.0,0.01,10.0,3.0,7.7397334444844015
100.0,1.0,0.01,10.0,9.6,24.767147022350084
100.0,1.0,0.01,50.0,0.8,0.7763785885818935
100.0,1.0,0.01,50.0,3.0,2.9114197071821004
100.0,1.0,0.01,50.0,9.6,9.31654306298272
100.0,1.0,0.01,100.0,0.8,0.2218608441339372
100.0,1.0,0.01,100.0,3.0,0.8319781655022644
100.0,1.0,0.01,100.0,9.6,2.662330129607246
100.0,1.0,0.03,1.0,0.8,4.784886823858898
100.0,1.0,0.03,1.0,3.0,17.943325589470867
